site,beta,gamma,w_spec,entry_year,regime,natural_intake,mean_travel,site_label,w_label,regime_label
now,1.6,1.6,W_att8,2026,optionZ,203.2378179365454,29.275773306387336,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,1.6,W_att8,2030,optionZ,139.99883175829976,27.44421656912605,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,1.6,W_att8,2035,optionZ,120.7454165279441,26.92545236971857,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,2.4,W_equal,2026,optionZ,333.06748178908106,32.64150795430355,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,2.4,W_equal,2030,optionZ,237.20544800170123,29.235259491072796,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,2.4,W_equal,2035,optionZ,208.99394886147428,28.361394452741113,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.6,2.4,W_pan,2026,optionZ,330.4963199740698,32.578984726783126,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,2.4,W_pan,2030,optionZ,237.5055607068529,29.32204682634388,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,2.4,W_pan,2035,optionZ,213.54990967947336,28.68476030706641,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.6,2.4,W_prefs,2026,optionZ,249.3940068256407,28.365651318320303,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,2.4,W_prefs,2030,optionZ,184.82105067718325,26.525806329444528,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,2.4,W_prefs,2035,optionZ,166.50569534234157,26.146938718847196,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.6,2.4,W_wprefs,2026,optionZ,238.7137899604931,27.86272678513128,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,2.4,W_wprefs,2030,optionZ,170.2252431326939,25.951070912056828,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,2.4,W_wprefs,2035,optionZ,153.86647845639493,25.65237872231364,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.6,2.4,W_att8,2026,optionZ,241.8441922304309,27.986860399545474,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,2.4,W_att8,2030,optionZ,173.35321681748303,26.098552760983363,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.6,2.4,W_att8,2035,optionZ,152.1883791528852,25.63915913850569,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0,W_equal,2026,optionZ,269.17133340507564,40.0411410311552,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0,W_equal,2030,optionZ,209.16861793516003,39.39717419281359,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0,W_equal,2035,optionZ,184.08426990084072,39.09899071424831,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0,W_pan,2026,optionZ,263.29024080871204,39.9766193878046,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0,W_pan,2030,optionZ,209.7554235263342,39.27051542222129,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0,W_pan,2035,optionZ,191.71477100723453,39.15119985781789,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0,W_prefs,2026,optionZ,141.6554037471933,36.498706439296505,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0,W_prefs,2030,optionZ,112.22479284431374,35.992315465944785,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0,W_prefs,2035,optionZ,98.48890387112976,35.63905519756664,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0,W_wprefs,2026,optionZ,132.60592839075736,36.1338719669961,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0,W_wprefs,2030,optionZ,92.54496105825477,35.067217406390554,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0,W_wprefs,2035,optionZ,82.64165344401309,34.819443823639055,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0,W_att8,2026,optionZ,137.34731090931328,36.314979050372045,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0,W_att8,2030,optionZ,91.7275347175842,35.00444948843111,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0,W_att8,2035,optionZ,80.87433308620393,34.73099818263927,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0.8,W_equal,2026,optionZ,290.883564243401,35.872126995005566,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0.8,W_equal,2030,optionZ,216.9947542892206,34.35498427707791,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0.8,W_equal,2035,optionZ,192.28154957667024,33.96891632191112,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,0.8,W_pan,2026,optionZ,292.0806285666312,35.95951720009968,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0.8,W_pan,2030,optionZ,218.19525848737894,34.393578641107005,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0.8,W_pan,2035,optionZ,197.78599273260988,34.09025568984925,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,0.8,W_prefs,2026,optionZ,168.55955514519783,31.681126616164587,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0.8,W_prefs,2030,optionZ,129.47870938462688,30.736978301098663,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0.8,W_prefs,2035,optionZ,116.26317515449898,30.456306227887495,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,0.8,W_wprefs,2026,optionZ,157.70739235381168,31.198365387119093,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0.8,W_wprefs,2030,optionZ,110.70852710869303,29.861231754101365,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0.8,W_wprefs,2035,optionZ,99.74539658286857,29.614246915320496,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,0.8,W_att8,2026,optionZ,168.40065296358364,31.630832012631892,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0.8,W_att8,2030,optionZ,112.35697233310331,29.94434575095248,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,0.8,W_att8,2035,optionZ,97.46978911636756,29.51122085834986,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,1.6,W_equal,2026,optionZ,317.3027666018572,33.38327871958413,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,1.6,W_equal,2030,optionZ,228.6646284220961,30.832191720460987,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,1.6,W_equal,2035,optionZ,200.5622467019915,30.113052742432604,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,1.6,W_pan,2026,optionZ,314.24816371207294,33.3278396049591,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,1.6,W_pan,2030,optionZ,229.23828640522166,30.942085219256093,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,1.6,W_pan,2035,optionZ,207.02129387727206,30.4793590310781,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,1.6,W_prefs,2026,optionZ,213.47809672760863,29.112889911738385,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,1.6,W_prefs,2030,optionZ,158.18805340129072,27.621317174493907,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,1.6,W_prefs,2035,optionZ,140.73933928188896,27.194626576158463,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,1.6,W_wprefs,2026,optionZ,200.1463514985162,28.54551838821503,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,1.6,W_wprefs,2030,optionZ,140.6600361161496,26.88562397228302,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,1.6,W_wprefs,2035,optionZ,125.9156466591413,26.550445666268164,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,1.6,W_att8,2026,optionZ,206.83433259849798,28.822019299283728,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,1.6,W_att8,2030,optionZ,143.11793942187407,27.0130048394828,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,1.6,W_att8,2035,optionZ,124.23524836043342,26.52890805078415,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,2.4,W_equal,2026,optionZ,330.8027242547016,32.16643156835867,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,2.4,W_equal,2030,optionZ,238.12035858012385,28.94166524825527,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,2.4,W_equal,2035,optionZ,209.89850719640634,28.084428439285578,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.7,2.4,W_pan,2026,optionZ,328.1078643208839,32.09747959551456,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,2.4,W_pan,2030,optionZ,238.25961687830707,29.01577351093944,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,2.4,W_pan,2035,optionZ,214.11673375836267,28.380479903934628,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.7,2.4,W_prefs,2026,optionZ,250.7110925612044,28.071003252799226,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,2.4,W_prefs,2030,optionZ,187.72139338128278,26.335337566054026,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,2.4,W_prefs,2035,optionZ,169.02507198158264,25.958091194827567,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.7,2.4,W_wprefs,2026,optionZ,240.53737664688558,27.59272231897706,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,2.4,W_wprefs,2030,optionZ,173.26753333745015,25.763603758692774,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,2.4,W_wprefs,2035,optionZ,156.77817632197969,25.478063051887275,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.7,2.4,W_att8,2026,optionZ,243.91561133126945,27.724192698157886,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,2.4,W_att8,2030,optionZ,175.92081277156012,25.89529010435108,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.7,2.4,W_att8,2035,optionZ,155.12497850061558,25.46318975917271,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.8,0,W_equal,2026,optionZ,270.66012642067466,39.0250018462009,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0,W_equal,2030,optionZ,210.72035116560684,38.3504097725251,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0,W_equal,2035,optionZ,185.52518269129067,38.03533072935222,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0,W_pan,2026,optionZ,264.345801567366,38.94496173238085,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0,W_pan,2030,optionZ,211.10538937692908,38.22500091288261,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0,W_pan,2035,optionZ,192.8664841402899,38.09233310877578,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0,W_prefs,2026,optionZ,144.4334590199017,35.38748006569617,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.8,0,W_prefs,2030,optionZ,114.77188928025073,34.875242749971484,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.8,0,W_prefs,2035,optionZ,100.88018583669073,34.510078104406794,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.8,0,W_wprefs,2026,optionZ,134.2804428836342,34.96471684147595,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.8,0,W_wprefs,2030,optionZ,95.07590065118876,33.92325087882097,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.8,0,W_wprefs,2035,optionZ,85.07142229028197,33.67040793241191,Ovingdean,Weighted preferences (ranks 1-3),Option Z (in force from 2026)
now,1.8,0,W_att8,2026,optionZ,139.2055891971672,35.157647224418746,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.8,0,W_att8,2030,optionZ,94.13396956552428,33.85521181775011,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.8,0,W_att8,2035,optionZ,83.29671231505709,33.57763732477197,Ovingdean,Attainment 8,Option Z (in force from 2026)
now,1.8,0.8,W_equal,2026,optionZ,291.07152620845693,35.090896809872085,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0.8,W_equal,2030,optionZ,219.2213646573792,33.61102629309497,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0.8,W_equal,2035,optionZ,194.174230899603,33.2155054195767,Ovingdean,All schools equal,Option Z (in force from 2026)
now,1.8,0.8,W_pan,2026,optionZ,292.66512964736427,35.18869030393688,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0.8,W_pan,2030,optionZ,219.82736742565456,33.63128308179625,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0.8,W_pan,2035,optionZ,199.458605331537,33.33555657820606,Ovingdean,Proportional to PAN,Option Z (in force from 2026)
now,1.8,0.8,W_prefs,2026,optionZ,172.17175408056747,30.947931558867165,Ovingdean,Published first preferences,Option Z (in force from 2026)
now,1.8,0.8,W_prefs,2030,optionZ,132.9952695767358,30.028576801001268,Ovingdean,Published first preferences,Option Z (in force from 2026)
