name,intake,from_new,mean_travel,entry_year,pan,fill,city_mean_travel,config
Hove Park School,180,3.214394145007935,26.953235062643476,2026,180,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
King's School,165.00000000000003,7.913732336364336,45.376610158868466,2026,165,1.0000000000000002,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Longhill High School,150,3.5765937439851476,28.157181635535412,2026,150,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Patcham High School,225,7.31876561376426,32.22237149250095,2026,225,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Peacehaven Community School,180,146.30080546833892,24.145461615847548,2026,180,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Portslade Aldridge Community Academy,220,4.138149799779792,24.961764572462826,2026,220,1,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Varndean School,269.99999999999994,8.231673552451504,33.06591826330377,2026,270,0.9999999999999998,31.80073516954222,"D. Shrink + move: Elm Grove, PAN 150"
Blatchington Mill School,330,7.272808406217394,30.7400655984749,2028,330,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Brighton Aldridge Community Academy,134.78143545903924,5.349950291596804,36.14334320384901,2028,180,0.7487857525502181,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Cardinal Newman Catholic School,147.5000850897221,7.191489131694479,32.90087581984836,2028,360,0.40972245858256134,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Dorothy Stringer School,330,10.629743917016611,34.577791373567315,2028,330,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Hove Park School,180,3.5496642326357675,27.299881515260235,2028,180,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
King's School,121.15439540722613,6.377487234041288,45.46742369627128,2028,165,0.7342690630740978,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Longhill High School,150.00000000000003,3.963508333608823,28.44792472729626,2028,150,1.0000000000000002,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Patcham High School,225,8.456862437537502,33.52540586812153,2028,225,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Peacehaven Community School,166.71123332357374,137.94894954714616,23.411791027142673,2028,180,0.9261735184642985,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Portslade Aldridge Community Academy,220,4.822550420444492,25.975446464042054,2028,220,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
Varndean School,270,9.336681130369021,33.73166510965066,2028,270,1,31.750625349601684,"D. Shrink + move: Elm Grove, PAN 150"
