name,modelled,mean_travel,site,beta,scope,pan2024,pan2026,fill
Patcham High School,188.60278955632464,29.536985451335084,elm,2.4000000000000004,city,225,225,0.8382346202503317
Portslade Aldridge Community Academy,251.46741351759425,25.742608529934472,elm,2.4000000000000004,city,220,220,1.1430336978072466
Varndean School,223.422234165826,29.9034033836264,elm,2.4000000000000004,city,300,270,0.7447407805527534
Blatchington Mill School,213.1571794749937,30.513231836718433,now,2.5,city,330,330,0.6459308468939203
Brighton Aldridge Community Academy,181.90145576284058,34.68599316468033,now,2.5,city,180,180,1.010563643126892
Cardinal Newman Catholic School,308.14322680144545,26.066256393299675,now,2.5,city,360,360,0.855953407781793
Dorothy Stringer School,220.19482391208317,29.28525020176945,now,2.5,city,330,330,0.6672570421578278
Hove Park School,255.33145448318734,27.967613749983816,now,2.5,city,180,180,1.418508080462152
King's School,151.9258500783984,33.86118460278729,now,2.5,city,165,165,0.9207627277478692
Longhill High School,227.02266004417896,30.847186478698443,now,2.5,city,270,210,0.8408246668302924
Patcham High School,200.309721834012,29.327692106683585,now,2.5,city,225,225,0.8902654303733867
Portslade Aldridge Community Academy,260.1555400164172,25.71695203474615,now,2.5,city,220,220,1.1825251818928055
Varndean School,248.50995059583047,29.359785610199026,now,2.5,city,300,270,0.8283665019861016
Blatchington Mill School,205.92675719153323,30.11341293912983,elm,2.5,city,330,330,0.6240204763379795
Brighton Aldridge Community Academy,151.25756004213702,36.08461677305057,elm,2.5,city,180,180,0.8403197780118723
Cardinal Newman Catholic School,291.63062945509733,25.815685025804644,elm,2.5,city,360,360,0.8100850818197148
Dorothy Stringer School,202.04790855028298,29.005077600657646,elm,2.5,city,330,330,0.6122663895463121
Hove Park School,245.2632255471667,27.56820653585588,elm,2.5,city,180,180,1.3625734752620373
King's School,147.2326539429671,33.347055068992574,elm,2.5,city,165,165,0.8923191148058611
Longhill High School,360.9110814159448,24.99450024900555,elm,2.5,city,270,210,1.3367077089479438
Patcham High School,187.02903619806136,28.874436661186376,elm,2.5,city,225,225,0.8312401608802727
Portslade Aldridge Community Academy,252.80548063762328,25.252516971732557,elm,2.5,city,220,220,1.1491158210801058
Varndean School,222.54753002257357,29.462250198326537,elm,2.5,city,300,270,0.7418251000752453
Blatchington Mill School,211.04125531020554,30.11849657715819,now,2.6,city,330,330,0.6395189554854713
Brighton Aldridge Community Academy,182.09453168136739,34.149849993491095,now,2.6,city,180,180,1.0116362871187077
Cardinal Newman Catholic School,310.5316632650116,25.6659944678246,now,2.6,city,360,360,0.8625879535139211
Dorothy Stringer School,218.43516132089954,28.85475752845675,now,2.6,city,330,330,0.6619247312754531
Hove Park School,255.20475910311336,27.56727099802359,now,2.6,city,180,180,1.4178042172395187
King's School,149.56557744551304,33.192099237332094,now,2.6,city,165,165,0.9064580451243215
Longhill High School,230.94763989806125,30.383244268769978,now,2.6,city,270,210,0.8553616292520787
Patcham High School,198.87814969417587,28.74689050630946,now,2.6,city,225,225,0.8839028875296705
Portslade Aldridge Community Academy,261.3670707092575,25.26327745417056,now,2.6,city,220,220,1.1880321395875342
Varndean School,248.58605457578224,28.986553308687252,now,2.6,city,300,270,0.8286201819192741
Blatchington Mill School,203.95638741503325,29.718800661337347,elm,2.6,city,330,330,0.6180496588334341
Brighton Aldridge Community Academy,149.81046293413925,35.515680682883286,elm,2.6,city,180,180,0.8322803496341069
Cardinal Newman Catholic School,293.75884856030973,25.3968076092235,elm,2.6,city,360,360,0.815996801556416
Dorothy Stringer School,199.95070620136295,28.515714955590667,elm,2.6,city,330,330,0.6059112309132211
Hove Park School,245.14606341628098,27.15992378595902,elm,2.6,city,180,180,1.3619225745348944
King's School,145.040923881029,32.679923810225375,elm,2.6,city,165,165,0.8790359023092666
