id,time_varndean,time_ds,time_longhill,time_blatchington,time_hove_park,time_patcham,time_cardinal_n,time_baca,time_paca,time_kings,time_peacehaven,time_seahaven,time_priory_lewes,time_seaford_head,time_elm_grove,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,long,lat,lsoa21,oslaua,osward
BN2 8AX,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.036364,50.802039,E01016961,E06000043,E05015412
BN2 8BQ,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.036378,50.802732,E01016961,E06000043,E05015412
BN2 8BS,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.0358,50.8023,E01016961,E06000043,E05015412
BN2 8BT,54,62,21,67,66,64,49,59,71,80,31,45,82,84,50,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.037393,50.801544,E01016961,E06000043,E05015412
BN2 8BU,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.0358,50.8023,E01016961,E06000043,E05015412
BN2 8DA,54,62,21,67,66,64,49,59,71,80,31,45,82,84,50,longhill,peacehaven,seahaven,21,31,45,84,21,59.6,-0.036424,50.799927,E01021030,E07000063,E05011585
BN2 8DB,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.031859,50.799823,E01021030,E07000063,E05011585
BN2 8DD,54,62,21,67,66,69,59,65,71,80,31,45,92,84,50,longhill,peacehaven,seahaven,21,31,45,92,21,61.9,-0.032003,50.800122,E01021030,E07000063,E05011585
BN2 8DE,54,62,47,67,66,69,59,65,71,80,31,45,92,84,54,peacehaven,seahaven,longhill,31,45,47,92,31,63.7,-0.03047,50.799116,E01021031,E07000063,E05011585
BN2 8DF,62,71,21,73,71,75,68,73,76,86,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,66.7,-0.026946,50.801575,E01021027,E07000063,E05011585
BN2 8DG,62,71,21,73,71,75,68,73,76,86,37,45,92,84,50,longhill,peacehaven,seahaven,21,37,45,92,21,66.7,-0.026355,50.801461,E01021027,E07000063,E05011585
BN2 8DH,76,79,47,83,79,78,68,77,85,91,49,57,102,84,66,longhill,peacehaven,seahaven,47,49,57,102,47,75.4,-0.023719,50.804722,E01021027,E07000063,E05011585
BN2 8DJ,76,81,21,83,82,80,68,81,91,96,49,57,102,84,50,longhill,peacehaven,seahaven,21,49,57,102,21,75.1,-0.022596,50.805791,E01021027,E07000063,E05011585
BN2 8DL,76,81,47,83,82,80,68,81,91,96,49,57,102,84,66,longhill,peacehaven,seahaven,47,49,57,102,47,76.9,-0.021926,50.806184,E01021027,E07000063,E05011585
BN2 8DN,76,79,47,83,79,78,68,77,85,91,49,57,102,84,66,longhill,peacehaven,seahaven,47,49,57,102,47,75.4,-0.022553,50.805125,E01021027,E07000063,E05011585
BN2 8DP,76,79,47,83,79,78,68,77,85,91,48,57,102,84,66,longhill,peacehaven,seahaven,47,48,57,102,47,75.3,-0.022717,50.803935,E01021027,E07000063,E05011585
BN2 8DQ,76,79,21,83,79,78,68,77,85,91,37,45,102,84,50,longhill,peacehaven,seahaven,21,37,45,102,21,71.8,-0.024058,50.803082,E01021027,E07000063,E05011585
BN2 8DR,76,79,47,83,79,78,68,77,85,91,37,45,102,84,66,peacehaven,seahaven,longhill,37,45,47,102,37,73.6,-0.02619,50.800999,E01021027,E07000063,E05011585
BN2 8DU,76,81,47,83,82,80,68,81,91,96,49,57,102,84,66,longhill,peacehaven,seahaven,47,49,57,102,47,76.9,-0.02174,50.80757,E01021027,E07000063,E05011585
BN2 8DW,54,62,21,67,66,64,49,59,71,80,37,45,82,84,50,longhill,peacehaven,seahaven,21,37,45,84,21,60.1,-0.036105,50.801783,E01016961,E06000043,E05015412
